seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
0,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
0,500,cap,7,10,0.251050,0.677863,0.679288,0.001425
0,500,cap,7,20,0.379763,0.672103,0.674001,0.001898
0,500,cap,7,30,0.479257,0.667711,0.670078,0.002367
0,500,cap,7,40,0.563382,0.664772,0.667771,0.002999
0,500,cap,7,50,0.637619,0.661641,0.664993,0.003352
0,500,cap,7,60,0.704802,0.659454,0.663001,0.003547
0,500,cap,7,70,0.766627,0.657359,0.661101,0.003742
0,500,cap,7,80,0.824202,0.655512,0.659211,0.003698
0,500,cap,7,90,0.878298,0.654251,0.658419,0.004168
0,500,cap,7,100,0.929480,0.653411,0.657626,0.004214
0,500,cap,7,110,0.978173,0.652329,0.656663,0.004333
1,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
1,500,cap,7,10,0.251050,0.680734,0.680911,0.000177
1,500,cap,7,20,0.379763,0.677447,0.677867,0.000419
1,500,cap,7,30,0.479257,0.674258,0.674406,0.000148
1,500,cap,7,40,0.563382,0.671392,0.671620,0.000228
1,500,cap,7,50,0.637619,0.669279,0.669679,0.000400
1,500,cap,7,60,0.704802,0.667059,0.666992,-0.000068
1,500,cap,7,70,0.766627,0.665337,0.664801,-0.000536
1,500,cap,7,80,0.824202,0.663311,0.662857,-0.000454
1,500,cap,7,90,0.878298,0.661333,0.660935,-0.000398
1,500,cap,7,100,0.929480,0.659931,0.659651,-0.000280
1,500,cap,7,110,0.978173,0.658753,0.658598,-0.000155
2,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
2,500,cap,7,10,0.251050,0.681264,0.682572,0.001309
2,500,cap,7,20,0.379763,0.673790,0.674439,0.000649
2,500,cap,7,30,0.479257,0.669948,0.670268,0.000320
2,500,cap,7,40,0.563382,0.667352,0.667217,-0.000135
2,500,cap,7,50,0.637619,0.664335,0.663687,-0.000648
2,500,cap,7,60,0.704802,0.662750,0.662176,-0.000574
2,500,cap,7,70,0.766627,0.661492,0.661009,-0.000483
2,500,cap,7,80,0.824202,0.660402,0.659986,-0.000415
2,500,cap,7,90,0.878298,0.659190,0.658231,-0.000959
2,500,cap,7,100,0.929480,0.658444,0.657588,-0.000856
2,500,cap,7,110,0.978173,0.657267,0.656442,-0.000825
3,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
3,500,cap,7,10,0.251050,0.680788,0.683328,0.002540
3,500,cap,7,20,0.379763,0.677403,0.678999,0.001597
3,500,cap,7,30,0.479257,0.676512,0.677729,0.001217
3,500,cap,7,40,0.563382,0.674378,0.674924,0.000546
