seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
0,500,no_cap,7,0,0.000000,0.693147,0.693147,-0.000000
0,500,no_cap,7,10,0.602520,0.663205,0.665962,0.002757
0,500,no_cap,7,20,0.911431,0.654206,0.657769,0.003563
0,500,no_cap,7,30,1.150216,0.648561,0.652974,0.004413
0,500,no_cap,7,40,1.352118,0.645123,0.650761,0.005637
0,500,no_cap,7,50,1.530285,0.641415,0.647650,0.006234
0,500,no_cap,7,60,1.691525,0.638952,0.645379,0.006427
0,500,no_cap,7,70,1.839904,0.636464,0.643120,0.006656
0,500,no_cap,7,80,1.978084,0.634519,0.640761,0.006242
0,500,no_cap,7,90,2.107916,0.633303,0.640497,0.007195
0,500,no_cap,7,100,2.230752,0.632696,0.639886,0.007190
0,500,no_cap,7,110,2.347615,0.631787,0.639107,0.007320
0,500,no_cap,7,120,2.459299,0.631476,0.639365,0.007889
0,500,no_cap,7,130,2.566437,0.630275,0.638401,0.008125
0,500,no_cap,7,140,2.669544,0.629765,0.636977,0.007212
0,500,no_cap,7,150,2.769041,0.628759,0.635950,0.007192
0,500,no_cap,7,160,2.865285,0.627179,0.634982,0.007803
0,500,no_cap,7,170,2.958574,0.626937,0.634644,0.007707
0,500,no_cap,7,180,3.049165,0.626169,0.634275,0.008106
0,500,no_cap,7,190,3.137280,0.625360,0.633567,0.008207
0,500,no_cap,7,200,3.223111,0.624286,0.633070,0.008784
0,500,no_cap,7,210,3.306827,0.623945,0.632979,0.009034
0,500,no_cap,7,220,3.388576,0.623979,0.632516,0.008537
0,500,no_cap,7,230,3.468493,0.623731,0.632353,0.008621
0,500,no_cap,7,240,3.546693,0.623278,0.631816,0.008538
0,500,no_cap,7,250,3.623284,0.622984,0.631565,0.008581
0,500,no_cap,7,260,3.698361,0.622305,0.631340,0.009035
0,500,no_cap,7,270,3.772010,0.621889,0.631113,0.009223
0,500,no_cap,7,280,3.844310,0.621599,0.630843,0.009245
0,500,no_cap,7,290,3.915332,0.621130,0.630753,0.009623
0,500,no_cap,7,300,3.985143,0.620925,0.630384,0.009460
0,500,no_cap,7,310,4.053800,0.620557,0.630320,0.009763
0,500,no_cap,7,320,4.121361,0.620226,0.630199,0.009973
0,500,no_cap,7,330,4.187876,0.619917,0.630205,0.010288
0,500,no_cap,7,340,4.253392,0.619756,0.629874,0.010118
0,500,no_cap,7,350,4.317953,0.619570,0.629967,0.010397
0,500,no_cap,7,360,4.381599,0.619402,0.630195,0.010793
0,500,no_cap,7,370,4.444368,0.619220,0.630006,0.010785
0,500,no_cap,7,380,4.506296,0.619181,0.630049,0.010868
0,500,no_cap,7,390,4.567415,0.619115,0.630191,0.011076
0,500,no_cap,7,400,4.627757,0.618865,0.629860,0.010995
0,500,no_cap,7,410,4.687350,0.618545,0.629646,0.011101
0,500,no_cap,7,420,4.746221,0.618272,0.629368,0.011095
0,500,no_cap,7,430,4.804396,0.618014,0.629432,0.011419
0,500,no_cap,7,440,4.861900,0.617881,0.629055,0.011174
0,500,no_cap,7,450,4.918754,0.617758,0.628893,0.011135
0,500,no_cap,7,460,4.974981,0.617284,0.628808,0.011524
0,500,no_cap,7,470,5.030601,0.617248,0.628955,0.011706
0,500,no_cap,7,480,5.085632,0.617280,0.628778,0.011498
0,500,no_cap,7,490,5.140094,0.617309,0.628611,0.011302
0,500,no_cap,7,500,5.194003,0.617020,0.628745,0.011724
0,500,no_cap,7,510,5.247377,0.616895,0.628734,0.011839
0,500,no_cap,7,520,5.300230,0.616613,0.628449,0.011836
0,500,no_cap,7,530,5.352578,0.616465,0.628580,0.012115
0,500,no_cap,7,540,5.404435,0.616486,0.629053,0.012567
0,500,no_cap,7,550,5.455814,0.616426,0.629132,0.012707
0,500,no_cap,7,560,5.506729,0.616302,0.628781,0.012478
0,500,no_cap,7,570,5.557192,0.616285,0.629034,0.012749
0,500,no_cap,7,580,5.607214,0.616079,0.628387,0.012308
0,500,no_cap,7,590,5.656807,0.615979,0.628264,0.012285
0,500,no_cap,7,600,5.705982,0.615869,0.628312,0.012442
0,500,no_cap,7,610,5.754749,0.615964,0.628105,0.012141
0,500,no_cap,7,620,5.803119,0.615771,0.628113,0.012342
0,500,no_cap,7,630,5.851100,0.615658,0.628133,0.012474
0,500,no_cap,7,640,5.898702,0.615550,0.628157,0.012607
0,500,no_cap,7,650,5.945934,0.615472,0.628205,0.012733
0,500,no_cap,7,660,5.992804,0.615401,0.628247,0.012846
0,500,no_cap,7,670,6.039321,0.615348,0.628316,0.012968
0,500,no_cap,7,680,6.085492,0.615203,0.628345,0.013142
0,500,no_cap,7,690,6.131326,0.615145,0.628139,0.012994
0,500,no_cap,7,700,6.176828,0.615181,0.628616,0.013435
0,500,no_cap,7,710,6.222007,0.615169,0.628808,0.013638
0,500,no_cap,7,720,6.266869,0.615080,0.628743,0.013663
0,500,no_cap,7,730,6.311421,0.615030,0.628652,0.013622
0,500,no_cap,7,740,6.355669,0.614924,0.628487,0.013563
0,500,no_cap,7,750,6.399619,0.614875,0.628454,0.013579
0,500,no_cap,7,760,6.443277,0.614924,0.628656,0.013733
0,500,no_cap,7,770,6.486649,0.614798,0.628653,0.013855
0,500,no_cap,7,780,6.529741,0.614642,0.628439,0.013797
0,500,no_cap,7,790,6.572557,0.614472,0.628215,0.013743
0,500,no_cap,7,800,6.615104,0.614366,0.628067,0.013701
0,500,no_cap,7,810,6.657385,0.614270,0.627938,0.013668
0,500,no_cap,7,820,6.699407,0.614239,0.628065,0.013826
0,500,no_cap,7,830,6.741173,0.614110,0.627902,0.013793
0,500,no_cap,7,840,6.782688,0.614061,0.628004,0.013943
0,500,no_cap,7,850,6.823958,0.614074,0.628220,0.014146
0,500,no_cap,7,860,6.864985,0.613993,0.628287,0.014294
0,500,no_cap,7,870,6.905774,0.613860,0.628232,0.014373
0,500,no_cap,7,880,6.946330,0.613739,0.628155,0.014416
0,500,no_cap,7,890,6.986657,0.613730,0.628305,0.014575
0,500,no_cap,7,900,7.026757,0.613760,0.628483,0.014723
0,500,no_cap,7,910,7.066636,0.613680,0.628400,0.014720
0,500,no_cap,7,920,7.106296,0.613646,0.628478,0.014832
0,500,no_cap,7,930,7.145741,0.613599,0.628366,0.014767
0,500,no_cap,7,940,7.184975,0.613449,0.628162,0.014713
0,500,no_cap,7,950,7.224001,0.613503,0.628320,0.014817
0,500,no_cap,7,960,7.262822,0.613429,0.628168,0.014739
0,500,no_cap,7,970,7.301441,0.613345,0.627980,0.014635
0,500,no_cap,7,980,7.339862,0.613185,0.627693,0.014508
0,500,no_cap,7,990,7.378088,0.613144,0.627471,0.014327
0,500,no_cap,7,1000,7.416121,0.613139,0.627406,0.014268
0,500,no_cap,7,1010,7.453965,0.613190,0.627291,0.014101
0,500,no_cap,7,1020,7.491621,0.613169,0.627131,0.013963
0,500,no_cap,7,1030,7.529094,0.613219,0.627136,0.013917
0,500,no_cap,7,1040,7.566385,0.613133,0.627110,0.013977
0,500,no_cap,7,1050,7.603498,0.613093,0.627168,0.014075
0,500,no_cap,7,1060,7.640434,0.613112,0.627078,0.013967
0,500,no_cap,7,1070,7.677197,0.612934,0.627096,0.014162
0,500,no_cap,7,1080,7.713788,0.612815,0.627144,0.014329
0,500,no_cap,7,1090,7.750210,0.612673,0.627190,0.014517
0,500,no_cap,7,1100,7.786466,0.612612,0.627247,0.014635
0,500,no_cap,7,1110,7.822557,0.612470,0.627293,0.014823
0,500,no_cap,7,1120,7.858486,0.612423,0.627297,0.014874
0,500,no_cap,7,1130,7.894256,0.612374,0.627258,0.014884
0,500,no_cap,7,1140,7.929867,0.612359,0.627404,0.015045
