m,seed,policy,degree,accepted,cap_ok,val_ok,train_loss,val_loss,test_loss,epsV,tau,K
150,0,dest_train,0,1,1,1,0.433333,0.550000,0.513000,0.042809,0.008562,16
150,0,dest_train,1,1,1,1,0.366667,0.450000,0.408000,0.042809,0.008562,16
150,0,dest_train,2,1,1,1,0.320000,0.466667,0.415000,0.042809,0.008562,16
150,0,dest_train,3,0,1,0,0.326667,0.500000,0.426000,0.042809,0.008562,16
150,0,dest_train,4,0,1,0,0.326667,0.483333,0.427000,0.042809,0.008562,16
150,0,dest_train,5,1,1,1,0.320000,0.483333,0.420000,0.042809,0.008562,16
150,0,dest_train,6,1,1,1,0.313333,0.466667,0.420000,0.042809,0.008562,16
150,0,dest_train,7,1,1,1,0.313333,0.466667,0.415000,0.042809,0.008562,16
150,0,dest_train,8,1,1,1,0.313333,0.483333,0.417000,0.042809,0.008562,16
150,0,dest_train,9,1,1,1,0.313333,0.466667,0.417000,0.042809,0.008562,16
150,0,dest_train,10,1,1,1,0.306667,0.483333,0.417000,0.042809,0.008562,16
150,0,dest_train,11,0,1,0,0.313333,0.483333,0.419000,0.042809,0.008562,16
150,0,dest_train,12,0,1,0,0.313333,0.483333,0.421000,0.042809,0.008562,16
150,0,dest_train,13,0,1,0,0.313333,0.483333,0.423000,0.042809,0.008562,16
150,0,dest_train,14,0,1,0,0.313333,0.483333,0.422000,0.042809,0.008562,16
150,0,dest_train,15,0,1,0,0.313333,0.483333,0.422000,0.042809,0.008562,16
150,0,dest_train,16,0,1,0,0.313333,0.483333,0.419000,0.042809,0.008562,16
150,0,dest_train,17,0,1,0,0.313333,0.483333,0.414000,0.042809,0.008562,16
150,0,dest_train,18,0,1,0,0.313333,0.483333,0.414000,0.042809,0.008562,16
150,0,dest_train,19,0,1,0,0.313333,0.483333,0.413000,0.042809,0.008562,16
150,0,dest_train,20,0,1,0,0.313333,0.483333,0.415000,0.042809,0.008562,16
150,0,dest_train,21,0,1,0,0.313333,0.483333,0.413000,0.042809,0.008562,16
150,0,dest_train,22,1,1,1,0.306667,0.483333,0.413000,0.042809,0.008562,16
150,0,dest_train,23,0,1,0,0.313333,0.483333,0.411000,0.042809,0.008562,16
150,0,dest_train,24,1,1,1,0.306667,0.466667,0.412000,0.042809,0.008562,16
150,0,dest_train,25,0,1,0,0.313333,0.450000,0.414000,0.042809,0.008562,16
150,0,dest_train,26,1,1,1,0.306667,0.450000,0.414000,0.042809,0.008562,16
150,0,dest_train,27,1,1,1,0.306667,0.450000,0.414000,0.042809,0.008562,16
150,0,dest_train,28,0,1,0,0.320000,0.450000,0.413000,0.042809,0.008562,16
150,0,dest_train,29,0,1,0,0.320000,0.450000,0.413000,0.042809,0.008562,16
150,0,dest_train,30,0,1,0,0.320000,0.450000,0.414000,0.042809,0.008562,16
150,1,dest_train,0,1,1,1,0.493333,0.400000,0.501000,0.042809,0.008562,16
150,1,dest_train,1,1,1,1,0.393333,0.433333,0.403000,0.042809,0.008562,16
150,1,dest_train,2,1,1,1,0.366667,0.500000,0.410000,0.042809,0.008562,16
150,1,dest_train,3,1,1,1,0.360000,0.450000,0.418000,0.042809,0.008562,16
150,1,dest_train,4,0,1,0,0.380000,0.516667,0.412000,0.042809,0.008562,16
150,1,dest_train,5,1,1,1,0.346667,0.500000,0.417000,0.042809,0.008562,16
150,1,dest_train,6,1,1,1,0.346667,0.500000,0.412000,0.042809,0.008562,16
150,1,dest_train,7,1,1,1,0.340000,0.466667,0.416000,0.042809,0.008562,16
150,1,dest_train,8,1,1,1,0.340000,0.466667,0.417000,0.042809,0.008562,16
150,1,dest_train,9,1,1,1,0.326667,0.466667,0.418000,0.042809,0.008562,16
150,1,dest_train,10,0,1,0,0.333333,0.466667,0.416000,0.042809,0.008562,16
150,1,dest_train,11,1,1,1,0.320000,0.466667,0.418000,0.042809,0.008562,16
150,1,dest_train,12,1,1,1,0.320000,0.466667,0.417000,0.042809,0.008562,16
150,1,dest_train,13,0,1,0,0.326667,0.466667,0.417000,0.042809,0.008562,16
150,1,dest_train,14,0,1,0,0.333333,0.483333,0.416000,0.042809,0.008562,16
150,1,dest_train,15,0,1,0,0.333333,0.483333,0.416000,0.042809,0.008562,16
150,1,dest_train,16,0,1,0,0.333333,0.483333,0.416000,0.042809,0.008562,16
150,1,dest_train,17,0,1,0,0.340000,0.483333,0.415000,0.042809,0.008562,16
150,1,dest_train,18,0,1,0,0.346667,0.483333,0.415000,0.042809,0.008562,16
150,1,dest_train,19,0,1,0,0.346667,0.483333,0.415000,0.042809,0.008562,16
150,1,dest_train,20,0,1,0,0.360000,0.466667,0.417000,0.042809,0.008562,16
150,1,dest_train,21,0,1,0,0.360000,0.466667,0.416000,0.042809,0.008562,16
150,1,dest_train,22,0,1,0,0.360000,0.466667,0.413000,0.042809,0.008562,16
150,1,dest_train,23,0,1,0,0.360000,0.466667,0.413000,0.042809,0.008562,16
150,1,dest_train,24,0,1,0,0.360000,0.466667,0.415000,0.042809,0.008562,16
150,1,dest_train,25,0,1,0,0.360000,0.466667,0.412000,0.042809,0.008562,16
150,1,dest_train,26,0,1,0,0.366667,0.466667,0.411000,0.042809,0.008562,16
150,1,dest_train,27,0,1,0,0.360000,0.466667,0.409000,0.042809,0.008562,16
150,1,dest_train,28,0,1,0,0.360000,0.466667,0.410000,0.042809,0.008562,16
150,1,dest_train,29,0,1,0,0.360000,0.466667,0.410000,0.042809,0.008562,16
150,1,dest_train,30,0,1,0,0.360000,0.466667,0.410000,0.042809,0.008562,16
150,2,dest_train,0,1,1,1,0.440000,0.416667,0.465000,0.042809,0.008562,16
150,2,dest_train,1,1,1,1,0.373333,0.366667,0.424000,0.042809,0.008562,16
150,2,dest_train,2,1,1,1,0.300000,0.400000,0.436000,0.042809,0.008562,16
150,2,dest_train,3,0,1,0,0.306667,0.400000,0.434000,0.042809,0.008562,16
150,2,dest_train,4,0,1,0,0.306667,0.416667,0.441000,0.042809,0.008562,16
150,2,dest_train,5,0,1,0,0.313333,0.416667,0.437000,0.042809,0.008562,16
150,2,dest_train,6,0,1,0,0.306667,0.416667,0.438000,0.042809,0.008562,16
150,2,dest_train,7,0,1,0,0.306667,0.416667,0.438000,0.042809,0.008562,16
150,2,dest_train,8,0,1,0,0.306667,0.416667,0.437000,0.042809,0.008562,16
150,2,dest_train,9,0,1,0,0.306667,0.433333,0.436000,0.042809,0.008562,16
