m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
500,0,destructive,0,0.454000,0.451000,0.435480,1,1,1,0.236607,0.118304,11
500,0,destructive,1,0.240000,0.230000,0.240840,1,1,1,0.236607,0.118304,11
500,0,destructive,2,0.232000,0.230000,0.238460,1,1,1,0.236607,0.118304,11
500,0,destructive,3,0.234000,0.228000,0.238720,1,1,1,0.236607,0.118304,11
500,0,destructive,4,0.232000,0.231000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,5,0.232000,0.231000,0.238420,1,1,1,0.236607,0.118304,11
500,0,destructive,6,0.232000,0.231000,0.238260,1,1,1,0.236607,0.118304,11
500,0,destructive,7,0.232000,0.231000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,8,0.232000,0.231000,0.238340,1,1,1,0.236607,0.118304,11
500,0,destructive,9,0.232000,0.231000,0.238320,1,1,1,0.236607,0.118304,11
500,0,destructive,10,0.232000,0.231000,0.238360,1,1,1,0.236607,0.118304,11
500,0,destructive,11,0.232000,0.231000,0.238140,1,1,1,0.236607,0.118304,11
500,0,destructive,12,0.232000,0.230000,0.238260,1,1,1,0.236607,0.118304,11
500,0,destructive,13,0.232000,0.229000,0.238100,1,1,1,0.236607,0.118304,11
500,0,destructive,14,0.232000,0.229000,0.238060,1,1,1,0.236607,0.118304,11
500,0,destructive,15,0.232000,0.229000,0.238100,1,1,1,0.236607,0.118304,11
500,0,destructive,16,0.228000,0.233000,0.239980,0,1,0,0.236607,0.118304,11
500,1,destructive,0,0.434000,0.446000,0.437860,1,1,1,0.236607,0.118304,11
500,1,destructive,1,0.224000,0.255000,0.238560,1,1,1,0.236607,0.118304,11
500,1,destructive,2,0.224000,0.250000,0.235160,1,1,1,0.236607,0.118304,11
500,1,destructive,3,0.220000,0.249000,0.235140,1,1,1,0.236607,0.118304,11
500,1,destructive,4,0.224000,0.250000,0.235080,1,1,1,0.236607,0.118304,11
500,1,destructive,5,0.224000,0.250000,0.235160,1,1,1,0.236607,0.118304,11
500,1,destructive,6,0.224000,0.250000,0.234940,1,1,1,0.236607,0.118304,11
500,1,destructive,7,0.224000,0.250000,0.235000,1,1,1,0.236607,0.118304,11
500,1,destructive,8,0.224000,0.250000,0.235120,1,1,1,0.236607,0.118304,11
500,1,destructive,9,0.220000,0.250000,0.235120,1,1,1,0.236607,0.118304,11
500,1,destructive,10,0.220000,0.250000,0.235100,1,1,1,0.236607,0.118304,11
500,1,destructive,11,0.220000,0.249000,0.235140,1,1,1,0.236607,0.118304,11
500,1,destructive,12,0.220000,0.249000,0.235140,1,1,1,0.236607,0.118304,11
500,1,destructive,13,0.220000,0.249000,0.235100,1,1,1,0.236607,0.118304,11
500,1,destructive,14,0.220000,0.249000,0.235160,1,1,1,0.236607,0.118304,11
500,1,destructive,15,0.218000,0.249000,0.235260,1,1,1,0.236607,0.118304,11
500,1,destructive,16,0.218000,0.249000,0.235300,1,1,1,0.236607,0.118304,11
500,1,destructive,17,0.218000,0.249000,0.235440,1,1,1,0.236607,0.118304,11
500,1,destructive,18,0.218000,0.249000,0.235440,1,1,1,0.236607,0.118304,11
500,1,destructive,19,0.218000,0.249000,0.235420,1,1,1,0.236607,0.118304,11
500,1,destructive,20,0.218000,0.249000,0.235400,1,1,1,0.236607,0.118304,11
500,1,destructive,21,0.218000,0.249000,0.235420,1,1,1,0.236607,0.118304,11
500,1,destructive,22,0.218000,0.249000,0.235400,1,1,1,0.236607,0.118304,11
500,1,destructive,23,0.218000,0.249000,0.235460,1,1,1,0.236607,0.118304,11
500,1,destructive,24,0.218000,0.249000,0.235400,1,1,1,0.236607,0.118304,11
500,1,destructive,25,0.218000,0.249000,0.235480,1,1,1,0.236607,0.118304,11
500,1,destructive,26,0.218000,0.249000,0.235520,1,1,1,0.236607,0.118304,11
500,1,destructive,27,0.218000,0.249000,0.235420,1,1,1,0.236607,0.118304,11
500,1,destructive,28,0.218000,0.249000,0.235400,1,1,1,0.236607,0.118304,11
500,1,destructive,29,0.222000,0.254000,0.237320,0,1,0,0.236607,0.118304,11
500,2,destructive,0,0.426000,0.443000,0.435940,1,1,1,0.236607,0.118304,11
500,2,destructive,1,0.254000,0.261000,0.245460,1,1,1,0.236607,0.118304,11
500,2,destructive,2,0.236000,0.259000,0.239320,1,1,1,0.236607,0.118304,11
500,2,destructive,3,0.236000,0.259000,0.239300,1,1,1,0.236607,0.118304,11
500,2,destructive,4,0.240000,0.259000,0.239760,1,1,1,0.236607,0.118304,11
500,2,destructive,5,0.240000,0.259000,0.239700,1,1,1,0.236607,0.118304,11
500,2,destructive,6,0.240000,0.259000,0.239920,1,1,1,0.236607,0.118304,11
500,2,destructive,7,0.240000,0.259000,0.239720,1,1,1,0.236607,0.118304,11
500,2,destructive,8,0.240000,0.259000,0.239740,1,1,1,0.236607,0.118304,11
500,2,destructive,9,0.240000,0.259000,0.239720,1,1,1,0.236607,0.118304,11
500,2,destructive,10,0.240000,0.259000,0.239740,1,1,1,0.236607,0.118304,11
500,2,destructive,11,0.240000,0.259000,0.239700,1,1,1,0.236607,0.118304,11
500,2,destructive,12,0.240000,0.259000,0.239860,1,1,1,0.236607,0.118304,11
500,2,destructive,13,0.238000,0.259000,0.239940,1,1,1,0.236607,0.118304,11
500,2,destructive,14,0.240000,0.259000,0.240540,1,1,1,0.236607,0.118304,11
500,2,destructive,15,0.238000,0.259000,0.240720,1,1,1,0.236607,0.118304,11
500,2,destructive,16,0.238000,0.258000,0.241380,1,1,1,0.236607,0.118304,11
500,2,destructive,17,0.238000,0.258000,0.241480,1,1,1,0.236607,0.118304,11
500,2,destructive,18,0.238000,0.259000,0.241820,1,1,1,0.236607,0.118304,11
500,2,destructive,19,0.236000,0.259000,0.241880,1,1,1,0.236607,0.118304,11
500,2,destructive,20,0.236000,0.259000,0.242120,1,1,1,0.236607,0.118304,11
500,2,destructive,21,0.236000,0.259000,0.241940,1,1,1,0.236607,0.118304,11
500,2,destructive,22,0.236000,0.259000,0.242200,1,1,1,0.236607,0.118304,11
500,2,destructive,23,0.236000,0.259000,0.242240,1,1,1,0.236607,0.118304,11
500,2,destructive,24,0.238000,0.259000,0.242380,1,1,1,0.236607,0.118304,11
500,2,destructive,25,0.236000,0.259000,0.242360,1,1,1,0.236607,0.118304,11
500,2,destructive,26,0.236000,0.258000,0.242440,1,1,1,0.236607,0.118304,11
500,2,destructive,27,0.236000,0.258000,0.242440,1,1,1,0.236607,0.118304,11
500,2,destructive,28,0.238000,0.258000,0.242660,1,1,1,0.236607,0.118304,11
500,2,destructive,29,0.236000,0.258000,0.242500,1,1,1,0.236607,0.118304,11
500,2,destructive,30,0.240000,0.258000,0.242740,1,1,1,0.236607,0.118304,11
500,2,destructive,31,0.240000,0.258000,0.242700,1,1,1,0.236607,0.118304,11
500,2,destructive,32,0.238000,0.258000,0.242700,1,1,1,0.236607,0.118304,11
500,2,destructive,33,0.240000,0.258000,0.242760,1,1,1,0.236607,0.118304,11
500,2,destructive,34,0.240000,0.258000,0.242820,1,1,1,0.236607,0.118304,11
500,2,destructive,35,0.240000,0.258000,0.242820,1,1,1,0.236607,0.118304,11
500,2,destructive,36,0.240000,0.258000,0.242800,1,1,1,0.236607,0.118304,11
500,2,destructive,37,0.240000,0.258000,0.242860,1,1,1,0.236607,0.118304,11
500,2,destructive,38,0.238000,0.258000,0.242840,1,1,1,0.236607,0.118304,11
500,2,destructive,39,0.238000,0.258000,0.242860,1,1,1,0.236607,0.118304,11
500,2,destructive,40,0.238000,0.258000,0.242820,1,1,1,0.236607,0.118304,11
500,2,destructive,41,0.238000,0.258000,0.242760,1,1,1,0.236607,0.118304,11
500,2,destructive,42,0.236000,0.258000,0.242620,1,1,1,0.236607,0.118304,11
500,2,destructive,43,0.238000,0.258000,0.242920,1,1,1,0.236607,0.118304,11
500,2,destructive,44,0.238000,0.258000,0.242740,1,1,1,0.236607,0.118304,11
500,2,destructive,45,0.238000,0.258000,0.242860,1,1,1,0.236607,0.118304,11
500,2,destructive,46,0.234000,0.258000,0.242740,1,1,1,0.236607,0.118304,11
500,2,destructive,47,0.234000,0.258000,0.242720,1,1,1,0.236607,0.118304,11
500,2,destructive,48,0.234000,0.258000,0.242540,1,1,1,0.236607,0.118304,11
500,2,destructive,49,0.234000,0.258000,0.242740,1,1,1,0.236607,0.118304,11
500,2,destructive,50,0.234000,0.258000,0.242500,1,1,1,0.236607,0.118304,11
500,2,destructive,51,0.234000,0.258000,0.242720,1,1,1,0.236607,0.118304,11
500,2,destructive,52,0.234000,0.258000,0.242560,1,1,1,0.236607,0.118304,11
500,2,destructive,53,0.234000,0.258000,0.242760,1,1,1,0.236607,0.118304,11
500,2,destructive,54,0.234000,0.258000,0.242580,1,1,1,0.236607,0.118304,11
500,2,destructive,55,0.234000,0.258000,0.242780,1,1,1,0.236607,0.118304,11
500,2,destructive,56,0.234000,0.258000,0.242580,1,1,1,0.236607,0.118304,11
500,2,destructive,57,0.234000,0.258000,0.242760,1,1,1,0.236607,0.118304,11
500,2,destructive,58,0.234000,0.258000,0.242520,1,1,1,0.236607,0.118304,11
500,2,destructive,59,0.234000,0.258000,0.243000,1,1,1,0.236607,0.118304,11
500,2,destructive,60,0.234000,0.258000,0.242580,1,1,1,0.236607,0.118304,11
500,3,destructive,0,0.446000,0.411000,0.441520,1,1,1,0.236607,0.118304,11
500,3,destructive,1,0.258000,0.253000,0.239480,1,1,1,0.236607,0.118304,11
500,3,destructive,2,0.258000,0.253000,0.240440,1,1,1,0.236607,0.118304,11
500,3,destructive,3,0.258000,0.254000,0.239480,1,1,1,0.236607,0.118304,11
500,3,destructive,4,0.258000,0.253000,0.239320,1,1,1,0.236607,0.118304,11
500,3,destructive,5,0.258000,0.253000,0.239960,1,1,1,0.236607,0.118304,11
500,3,destructive,6,0.258000,0.254000,0.239600,1,1,1,0.236607,0.118304,11
500,3,destructive,7,0.258000,0.254000,0.239480,1,1,1,0.236607,0.118304,11
500,3,destructive,8,0.258000,0.253000,0.239480,1,1,1,0.236607,0.118304,11
500,3,destructive,9,0.258000,0.254000,0.239660,1,1,1,0.236607,0.118304,11
500,3,destructive,10,0.258000,0.254000,0.239600,1,1,1,0.236607,0.118304,11
500,3,destructive,11,0.258000,0.253000,0.239740,1,1,1,0.236607,0.118304,11
500,3,destructive,12,0.258000,0.253000,0.239880,1,1,1,0.236607,0.118304,11
500,3,destructive,13,0.258000,0.253000,0.240160,1,1,1,0.236607,0.118304,11
500,3,destructive,14,0.258000,0.253000,0.240440,1,1,1,0.236607,0.118304,11
500,3,destructive,15,0.258000,0.254000,0.240600,1,1,1,0.236607,0.118304,11
500,3,destructive,16,0.258000,0.254000,0.240680,1,1,1,0.236607,0.118304,11
500,3,destructive,17,0.258000,0.254000,0.240840,1,1,1,0.236607,0.118304,11
500,3,destructive,18,0.258000,0.254000,0.240880,1,1,1,0.236607,0.118304,11
500,3,destructive,19,0.258000,0.253000,0.241020,1,1,1,0.236607,0.118304,11
500,3,destructive,20,0.258000,0.253000,0.241020,1,1,1,0.236607,0.118304,11
500,3,destructive,21,0.258000,0.253000,0.241020,1,1,1,0.236607,0.118304,11
500,3,destructive,22,0.258000,0.253000,0.241020,1,1,1,0.236607,0.118304,11
500,3,destructive,23,0.258000,0.253000,0.241020,1,1,1,0.236607,0.118304,11
500,3,destructive,24,0.258000,0.254000,0.240960,1,1,1,0.236607,0.118304,11
500,3,destructive,25,0.258000,0.254000,0.240980,1,1,1,0.236607,0.118304,11
500,3,destructive,26,0.258000,0.254000,0.240980,1,1,1,0.236607,0.118304,11
500,3,destructive,27,0.258000,0.254000,0.241000,1,1,1,0.236607,0.118304,11
500,3,destructive,28,0.258000,0.253000,0.241040,1,1,1,0.236607,0.118304,11
500,3,destructive,29,0.258000,0.254000,0.240980,1,1,1,0.236607,0.118304,11
500,3,destructive,30,0.258000,0.254000,0.240960,1,1,1,0.236607,0.118304,11
500,3,destructive,31,0.258000,0.254000,0.240980,1,1,1,0.236607,0.118304,11
500,3,destructive,32,0.258000,0.254000,0.240940,1,1,1,0.236607,0.118304,11
500,3,destructive,33,0.258000,0.254000,0.240960,1,1,1,0.236607,0.118304,11
500,3,destructive,34,0.258000,0.254000,0.240920,1,1,1,0.236607,0.118304,11
500,3,destructive,35,0.258000,0.254000,0.240860,1,1,1,0.236607,0.118304,11
500,3,destructive,36,0.258000,0.254000,0.240860,1,1,1,0.236607,0.118304,11
500,3,destructive,37,0.258000,0.254000,0.240880,1,1,1,0.236607,0.118304,11
500,3,destructive,38,0.258000,0.254000,0.240860,1,1,1,0.236607,0.118304,11
500,3,destructive,39,0.258000,0.254000,0.240760,1,1,1,0.236607,0.118304,11
500,3,destructive,40,0.258000,0.254000,0.240800,1,1,1,0.236607,0.118304,11
500,3,destructive,41,0.258000,0.254000,0.240740,1,1,1,0.236607,0.118304,11
500,3,destructive,42,0.258000,0.254000,0.240700,1,1,1,0.236607,0.118304,11
500,3,destructive,43,0.258000,0.254000,0.240860,1,1,1,0.236607,0.118304,11
500,3,destructive,44,0.258000,0.254000,0.240700,1,1,1,0.236607,0.118304,11
500,3,destructive,45,0.258000,0.254000,0.240780,1,1,1,0.236607,0.118304,11
500,3,destructive,46,0.258000,0.254000,0.240820,1,1,1,0.236607,0.118304,11
500,3,destructive,47,0.258000,0.254000,0.240720,1,1,1,0.236607,0.118304,11
500,3,destructive,48,0.258000,0.254000,0.240860,1,1,1,0.236607,0.118304,11
500,3,destructive,49,0.258000,0.257000,0.241080,1,1,1,0.236607,0.118304,11
500,3,destructive,50,0.258000,0.257000,0.241520,1,1,1,0.236607,0.118304,11
500,3,destructive,51,0.260000,0.259000,0.241620,1,1,1,0.236607,0.118304,11
500,3,destructive,52,0.258000,0.258000,0.241920,1,1,1,0.236607,0.118304,11
500,3,destructive,53,0.258000,0.258000,0.241880,1,1,1,0.236607,0.118304,11
500,3,destructive,54,0.258000,0.258000,0.242180,1,1,1,0.236607,0.118304,11
500,3,destructive,55,0.258000,0.257000,0.242120,1,1,1,0.236607,0.118304,11
500,3,destructive,56,0.258000,0.257000,0.242320,1,1,1,0.236607,0.118304,11
500,3,destructive,57,0.258000,0.257000,0.242220,1,1,1,0.236607,0.118304,11
500,3,destructive,58,0.258000,0.257000,0.242440,1,1,1,0.236607,0.118304,11
500,3,destructive,59,0.258000,0.257000,0.242080,1,1,1,0.236607,0.118304,11
500,3,destructive,60,0.258000,0.257000,0.242540,1,1,1,0.236607,0.118304,11
500,4,destructive,0,0.414000,0.464000,0.438760,1,1,1,0.236607,0.118304,11
500,4,destructive,1,0.276000,0.251000,0.249340,1,1,1,0.236607,0.118304,11
