m,seed,policy,degree,accepted,cap_ok,val_ok,train_loss,val_loss,test_loss,epsV,tau,K
150,0,twogate,0,1,1,1,0.433333,0.550000,0.513000,0.075273,0.015055,31
150,0,twogate,1,1,1,1,0.366667,0.450000,0.408000,0.075273,0.015055,31
150,0,twogate,2,0,1,0,0.320000,0.466667,0.415000,0.075273,0.015055,31
150,0,twogate,3,0,1,0,0.326667,0.500000,0.426000,0.075273,0.015055,31
150,0,twogate,4,0,1,0,0.326667,0.483333,0.427000,0.075273,0.015055,31
150,0,twogate,5,0,1,0,0.320000,0.483333,0.420000,0.075273,0.015055,31
150,0,twogate,6,0,1,0,0.313333,0.466667,0.420000,0.075273,0.015055,31
150,0,twogate,7,0,1,0,0.313333,0.466667,0.415000,0.075273,0.015055,31
150,0,twogate,8,0,1,0,0.313333,0.483333,0.417000,0.075273,0.015055,31
150,0,twogate,9,0,1,0,0.313333,0.466667,0.417000,0.075273,0.015055,31
150,0,twogate,10,0,1,0,0.306667,0.483333,0.417000,0.075273,0.015055,31
150,0,twogate,11,0,1,0,0.313333,0.483333,0.419000,0.075273,0.015055,31
150,0,twogate,12,0,1,0,0.313333,0.483333,0.421000,0.075273,0.015055,31
150,0,twogate,13,0,1,0,0.313333,0.483333,0.423000,0.075273,0.015055,31
150,0,twogate,14,0,1,0,0.313333,0.483333,0.422000,0.075273,0.015055,31
150,0,twogate,15,0,1,0,0.313333,0.483333,0.422000,0.075273,0.015055,31
150,0,twogate,16,0,1,0,0.313333,0.483333,0.419000,0.075273,0.015055,31
150,0,twogate,17,0,1,0,0.313333,0.483333,0.414000,0.075273,0.015055,31
150,0,twogate,18,0,1,0,0.313333,0.483333,0.414000,0.075273,0.015055,31
150,0,twogate,19,0,1,0,0.313333,0.483333,0.413000,0.075273,0.015055,31
150,0,twogate,20,0,1,0,0.313333,0.483333,0.415000,0.075273,0.015055,31
150,0,twogate,21,0,1,0,0.313333,0.483333,0.413000,0.075273,0.015055,31
150,0,twogate,22,0,1,0,0.306667,0.483333,0.413000,0.075273,0.015055,31
150,0,twogate,23,0,1,0,0.313333,0.483333,0.411000,0.075273,0.015055,31
150,0,twogate,24,0,1,0,0.306667,0.466667,0.412000,0.075273,0.015055,31
150,0,twogate,25,0,1,0,0.313333,0.450000,0.414000,0.075273,0.015055,31
150,0,twogate,26,0,1,0,0.306667,0.450000,0.414000,0.075273,0.015055,31
150,0,twogate,27,0,1,0,0.306667,0.450000,0.414000,0.075273,0.015055,31
150,0,twogate,28,0,1,0,0.320000,0.450000,0.413000,0.075273,0.015055,31
150,0,twogate,29,0,1,0,0.320000,0.450000,0.413000,0.075273,0.015055,31
150,0,twogate,30,0,1,0,0.320000,0.450000,0.414000,0.075273,0.015055,31
150,1,twogate,0,1,1,1,0.493333,0.400000,0.501000,0.075273,0.015055,31
150,1,twogate,1,0,1,0,0.393333,0.433333,0.403000,0.075273,0.015055,31
150,1,twogate,2,0,1,0,0.366667,0.500000,0.410000,0.075273,0.015055,31
150,1,twogate,3,0,1,0,0.360000,0.450000,0.418000,0.075273,0.015055,31
150,1,twogate,4,0,1,0,0.380000,0.516667,0.412000,0.075273,0.015055,31
150,1,twogate,5,0,1,0,0.346667,0.500000,0.417000,0.075273,0.015055,31
150,1,twogate,6,0,1,0,0.346667,0.500000,0.412000,0.075273,0.015055,31
150,1,twogate,7,0,1,0,0.340000,0.466667,0.416000,0.075273,0.015055,31
150,1,twogate,8,0,1,0,0.340000,0.466667,0.417000,0.075273,0.015055,31
150,1,twogate,9,0,1,0,0.326667,0.466667,0.418000,0.075273,0.015055,31
150,1,twogate,10,0,1,0,0.333333,0.466667,0.416000,0.075273,0.015055,31
150,1,twogate,11,0,1,0,0.320000,0.466667,0.418000,0.075273,0.015055,31
150,1,twogate,12,0,1,0,0.320000,0.466667,0.417000,0.075273,0.015055,31
150,1,twogate,13,0,1,0,0.326667,0.466667,0.417000,0.075273,0.015055,31
150,1,twogate,14,0,1,0,0.333333,0.483333,0.416000,0.075273,0.015055,31
150,1,twogate,15,0,1,0,0.333333,0.483333,0.416000,0.075273,0.015055,31
150,1,twogate,16,0,1,0,0.333333,0.483333,0.416000,0.075273,0.015055,31
150,1,twogate,17,0,1,0,0.340000,0.483333,0.415000,0.075273,0.015055,31
150,1,twogate,18,0,1,0,0.346667,0.483333,0.415000,0.075273,0.015055,31
150,1,twogate,19,0,1,0,0.346667,0.483333,0.415000,0.075273,0.015055,31
150,1,twogate,20,0,1,0,0.360000,0.466667,0.417000,0.075273,0.015055,31
150,1,twogate,21,0,1,0,0.360000,0.466667,0.416000,0.075273,0.015055,31
150,1,twogate,22,0,1,0,0.360000,0.466667,0.413000,0.075273,0.015055,31
150,1,twogate,23,0,1,0,0.360000,0.466667,0.413000,0.075273,0.015055,31
150,1,twogate,24,0,1,0,0.360000,0.466667,0.415000,0.075273,0.015055,31
150,1,twogate,25,0,1,0,0.360000,0.466667,0.412000,0.075273,0.015055,31
150,1,twogate,26,0,1,0,0.366667,0.466667,0.411000,0.075273,0.015055,31
150,1,twogate,27,0,1,0,0.360000,0.466667,0.409000,0.075273,0.015055,31
150,1,twogate,28,0,1,0,0.360000,0.466667,0.410000,0.075273,0.015055,31
150,1,twogate,29,0,1,0,0.360000,0.466667,0.410000,0.075273,0.015055,31
