m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
400,0,destructive,0,0.457500,0.470000,0.462167,1,1,1,0.399893,0.199947,5
400,0,destructive,1,0.200000,0.215000,0.225167,1,1,1,0.399893,0.199947,5
400,0,destructive,2,0.167500,0.240000,0.263367,0,1,0,0.399893,0.199947,5
400,1,destructive,0,0.445000,0.425000,0.462133,1,1,1,0.399893,0.199947,5
400,1,destructive,1,0.230000,0.245000,0.234500,1,1,1,0.399893,0.199947,5
400,1,destructive,2,0.182500,0.285000,0.280967,0,1,0,0.399893,0.199947,5
400,2,destructive,0,0.452500,0.425000,0.461933,1,1,1,0.399893,0.199947,5
400,2,destructive,1,0.207500,0.270000,0.236167,1,1,1,0.399893,0.199947,5
400,2,destructive,2,0.160000,0.255000,0.278433,1,1,1,0.399893,0.199947,5
400,2,destructive,3,0.005000,0.325000,0.331000,0,1,0,0.399893,0.199947,5
400,3,destructive,0,0.435000,0.430000,0.457800,1,1,1,0.399893,0.199947,5
400,3,destructive,1,0.245000,0.235000,0.225567,1,1,1,0.399893,0.199947,5
400,3,destructive,2,0.195000,0.290000,0.277267,0,1,0,0.399893,0.199947,5
400,4,destructive,0,0.450000,0.460000,0.457067,1,1,1,0.399893,0.199947,5
400,4,destructive,1,0.227500,0.255000,0.246667,1,1,1,0.399893,0.199947,5
400,4,destructive,2,0.155000,0.315000,0.285500,0,1,0,0.399893,0.199947,5
400,5,destructive,0,0.482500,0.415000,0.457000,1,1,1,0.399893,0.199947,5
400,5,destructive,1,0.197500,0.220000,0.235167,1,1,1,0.399893,0.199947,5
400,5,destructive,2,0.160000,0.285000,0.281333,0,1,0,0.399893,0.199947,5
400,6,destructive,0,0.480000,0.490000,0.458800,1,1,1,0.399893,0.199947,5
400,6,destructive,1,0.217500,0.210000,0.244300,1,1,1,0.399893,0.199947,5
400,6,destructive,2,0.142500,0.220000,0.299100,0,1,0,0.399893,0.199947,5
400,7,destructive,0,0.470000,0.430000,0.461533,1,1,1,0.399893,0.199947,5
400,7,destructive,1,0.212500,0.210000,0.229367,1,1,1,0.399893,0.199947,5
400,7,destructive,2,0.135000,0.240000,0.273867,0,1,0,0.399893,0.199947,5
400,8,destructive,0,0.467500,0.425000,0.460300,1,1,1,0.399893,0.199947,5
400,8,destructive,1,0.187500,0.215000,0.230500,1,1,1,0.399893,0.199947,5
400,8,destructive,2,0.165000,0.245000,0.274867,0,1,0,0.399893,0.199947,5
400,9,destructive,0,0.460000,0.520000,0.456867,1,1,1,0.399893,0.199947,5
400,9,destructive,1,0.240000,0.305000,0.227267,1,1,1,0.399893,0.199947,5
400,9,destructive,2,0.157500,0.305000,0.262567,1,1,1,0.399893,0.199947,5
400,9,destructive,3,0.000000,0.340000,0.333033,0,1,0,0.399893,0.199947,5
400,10,destructive,0,0.485000,0.480000,0.460333,1,1,1,0.399893,0.199947,5
400,10,destructive,1,0.182500,0.305000,0.233600,1,1,1,0.399893,0.199947,5
400,10,destructive,2,0.137500,0.285000,0.270800,1,1,1,0.399893,0.199947,5
400,10,destructive,3,0.002500,0.345000,0.329067,0,1,0,0.399893,0.199947,5
400,11,destructive,0,0.497500,0.455000,0.461900,1,1,1,0.399893,0.199947,5
400,11,destructive,1,0.220000,0.195000,0.244200,1,1,1,0.399893,0.199947,5
400,11,destructive,2,0.185000,0.295000,0.297700,0,1,0,0.399893,0.199947,5
400,12,destructive,0,0.435000,0.460000,0.453700,1,1,1,0.399893,0.199947,5
400,12,destructive,1,0.195000,0.235000,0.231800,1,1,1,0.399893,0.199947,5
400,12,destructive,2,0.147500,0.270000,0.265467,0,1,0,0.399893,0.199947,5
400,13,destructive,0,0.395000,0.450000,0.460100,1,1,1,0.399893,0.199947,5
400,13,destructive,1,0.222500,0.220000,0.237067,1,1,1,0.399893,0.199947,5
400,13,destructive,2,0.182500,0.315000,0.266567,0,1,0,0.399893,0.199947,5
400,14,destructive,0,0.500000,0.475000,0.456433,1,1,1,0.399893,0.199947,5
400,14,destructive,1,0.235000,0.185000,0.244067,1,1,1,0.399893,0.199947,5
400,14,destructive,2,0.210000,0.225000,0.273367,0,1,0,0.399893,0.199947,5
400,15,destructive,0,0.497500,0.500000,0.462400,1,1,1,0.399893,0.199947,5
400,15,destructive,1,0.187500,0.245000,0.241367,1,1,1,0.399893,0.199947,5
400,15,destructive,2,0.155000,0.300000,0.266800,0,1,0,0.399893,0.199947,5
400,16,destructive,0,0.415000,0.480000,0.458767,1,1,1,0.399893,0.199947,5
400,16,destructive,1,0.187500,0.220000,0.242933,1,1,1,0.399893,0.199947,5
400,16,destructive,2,0.137500,0.245000,0.279767,0,1,0,0.399893,0.199947,5
400,17,destructive,0,0.477500,0.365000,0.461000,1,1,1,0.399893,0.199947,5
400,17,destructive,1,0.220000,0.225000,0.233333,1,1,1,0.399893,0.199947,5
400,17,destructive,2,0.182500,0.250000,0.277533,0,1,0,0.399893,0.199947,5
400,18,destructive,0,0.480000,0.480000,0.464200,1,1,1,0.399893,0.199947,5
400,18,destructive,1,0.255000,0.330000,0.236867,1,1,1,0.399893,0.199947,5
400,18,destructive,2,0.202500,0.335000,0.292767,1,1,1,0.399893,0.199947,5
400,18,destructive,3,0.002500,0.335000,0.329833,1,1,1,0.399893,0.199947,5
400,18,destructive,4,0.005000,0.315000,0.316733,1,1,1,0.399893,0.199947,5
400,18,destructive,5,0.010000,0.305000,0.292900,1,1,1,0.399893,0.199947,5
400,18,destructive,6,0.020000,0.325000,0.293067,0,1,0,0.399893,0.199947,5
400,19,destructive,0,0.475000,0.465000,0.461500,1,1,1,0.399893,0.199947,5
400,19,destructive,1,0.200000,0.200000,0.235100,1,1,1,0.399893,0.199947,5
400,19,destructive,2,0.167500,0.240000,0.269433,0,1,0,0.399893,0.199947,5
400,20,destructive,0,0.452500,0.450000,0.460233,1,1,1,0.399893,0.199947,5
400,20,destructive,1,0.202500,0.280000,0.245200,1,1,1,0.399893,0.199947,5
400,20,destructive,2,0.165000,0.290000,0.279933,0,1,0,0.399893,0.199947,5
400,21,destructive,0,0.452500,0.490000,0.463033,1,1,1,0.399893,0.199947,5
400,21,destructive,1,0.195000,0.215000,0.223267,1,1,1,0.399893,0.199947,5
400,21,destructive,2,0.152500,0.285000,0.266800,0,1,0,0.399893,0.199947,5
400,22,destructive,0,0.472500,0.435000,0.461200,1,1,1,0.399893,0.199947,5
400,22,destructive,1,0.245000,0.190000,0.230867,1,1,1,0.399893,0.199947,5
400,22,destructive,2,0.187500,0.235000,0.283200,0,1,0,0.399893,0.199947,5
400,23,destructive,0,0.455000,0.475000,0.464333,1,1,1,0.399893,0.199947,5
400,23,destructive,1,0.197500,0.225000,0.230500,1,1,1,0.399893,0.199947,5
400,23,destructive,2,0.142500,0.295000,0.259367,0,1,0,0.399893,0.199947,5
400,24,destructive,0,0.480000,0.515000,0.455400,1,1,1,0.399893,0.199947,5
400,24,destructive,1,0.222500,0.215000,0.237600,1,1,1,0.399893,0.199947,5
400,24,destructive,2,0.185000,0.290000,0.270033,0,1,0,0.399893,0.199947,5
400,25,destructive,0,0.462500,0.460000,0.458200,1,1,1,0.399893,0.199947,5
400,25,destructive,1,0.267500,0.220000,0.239367,1,1,1,0.399893,0.199947,5
400,25,destructive,2,0.205000,0.290000,0.284467,0,1,0,0.399893,0.199947,5
400,26,destructive,0,0.477500,0.515000,0.539900,1,1,1,0.399893,0.199947,5
400,26,destructive,1,0.215000,0.285000,0.242667,1,1,1,0.399893,0.199947,5
400,26,destructive,2,0.167500,0.335000,0.274567,0,1,0,0.399893,0.199947,5
400,27,destructive,0,0.435000,0.495000,0.455100,1,1,1,0.399893,0.199947,5
400,27,destructive,1,0.227500,0.240000,0.231667,1,1,1,0.399893,0.199947,5
400,27,destructive,2,0.180000,0.290000,0.278600,0,1,0,0.399893,0.199947,5
400,28,destructive,0,0.452500,0.455000,0.462233,1,1,1,0.399893,0.199947,5
400,28,destructive,1,0.210000,0.235000,0.231833,1,1,1,0.399893,0.199947,5
400,28,destructive,2,0.170000,0.265000,0.273200,0,1,0,0.399893,0.199947,5
400,29,destructive,0,0.430000,0.500000,0.455133,1,1,1,0.399893,0.199947,5
400,29,destructive,1,0.195000,0.235000,0.221867,1,1,1,0.399893,0.199947,5
400,29,destructive,2,0.165000,0.240000,0.258300,1,1,1,0.399893,0.199947,5
400,29,destructive,3,0.005000,0.320000,0.327533,0,1,0,0.399893,0.199947,5
400,30,destructive,0,0.462500,0.425000,0.457667,1,1,1,0.399893,0.199947,5
400,30,destructive,1,0.260000,0.275000,0.247333,1,1,1,0.399893,0.199947,5
400,30,destructive,2,0.185000,0.320000,0.310133,0,1,0,0.399893,0.199947,5
400,31,destructive,0,0.432500,0.495000,0.455867,1,1,1,0.399893,0.199947,5
400,31,destructive,1,0.192500,0.200000,0.229467,1,1,1,0.399893,0.199947,5
400,31,destructive,2,0.165000,0.255000,0.276333,0,1,0,0.399893,0.199947,5
400,32,destructive,0,0.455000,0.445000,0.461400,1,1,1,0.399893,0.199947,5
400,32,destructive,1,0.222500,0.250000,0.232567,1,1,1,0.399893,0.199947,5
400,32,destructive,2,0.152500,0.320000,0.282267,0,1,0,0.399893,0.199947,5
400,33,destructive,0,0.445000,0.405000,0.458533,1,1,1,0.399893,0.199947,5
400,33,destructive,1,0.235000,0.210000,0.223667,1,1,1,0.399893,0.199947,5
400,33,destructive,2,0.185000,0.185000,0.257133,1,1,1,0.399893,0.199947,5
400,33,destructive,3,0.002500,0.300000,0.354733,0,1,0,0.399893,0.199947,5
400,34,destructive,0,0.432500,0.445000,0.460433,1,1,1,0.399893,0.199947,5
400,34,destructive,1,0.205000,0.240000,0.234033,1,1,1,0.399893,0.199947,5
400,34,destructive,2,0.175000,0.285000,0.258500,0,1,0,0.399893,0.199947,5
400,35,destructive,0,0.467500,0.510000,0.462767,1,1,1,0.399893,0.199947,5
400,35,destructive,1,0.200000,0.195000,0.232100,1,1,1,0.399893,0.199947,5
400,35,destructive,2,0.132500,0.225000,0.263900,0,1,0,0.399893,0.199947,5
400,36,destructive,0,0.447500,0.485000,0.461667,1,1,1,0.399893,0.199947,5
400,36,destructive,1,0.182500,0.220000,0.237500,1,1,1,0.399893,0.199947,5
400,36,destructive,2,0.152500,0.280000,0.272133,0,1,0,0.399893,0.199947,5
400,37,destructive,0,0.500000,0.410000,0.459567,1,1,1,0.399893,0.199947,5
400,37,destructive,1,0.205000,0.225000,0.236567,1,1,1,0.399893,0.199947,5
400,37,destructive,2,0.165000,0.255000,0.272467,0,1,0,0.399893,0.199947,5
400,38,destructive,0,0.477500,0.540000,0.542133,1,1,1,0.399893,0.199947,5
400,38,destructive,1,0.190000,0.325000,0.242367,1,1,1,0.399893,0.199947,5
400,38,destructive,2,0.162500,0.255000,0.291833,1,1,1,0.399893,0.199947,5
400,38,destructive,3,0.000000,0.315000,0.334533,0,1,0,0.399893,0.199947,5
400,39,destructive,0,0.455000,0.440000,0.460700,1,1,1,0.399893,0.199947,5
400,39,destructive,1,0.215000,0.220000,0.237300,1,1,1,0.399893,0.199947,5
400,39,destructive,2,0.165000,0.225000,0.287767,1,1,1,0.399893,0.199947,5
400,39,destructive,3,0.000000,0.315000,0.333700,0,1,0,0.399893,0.199947,5
400,40,destructive,0,0.497500,0.410000,0.458267,1,1,1,0.399893,0.199947,5
400,40,destructive,1,0.212500,0.240000,0.235233,1,1,1,0.399893,0.199947,5
400,40,destructive,2,0.190000,0.255000,0.269233,0,1,0,0.399893,0.199947,5
400,41,destructive,0,0.477500,0.415000,0.461433,1,1,1,0.399893,0.199947,5
400,41,destructive,1,0.217500,0.235000,0.233867,1,1,1,0.399893,0.199947,5
400,41,destructive,2,0.155000,0.270000,0.257667,0,1,0,0.399893,0.199947,5
400,42,destructive,0,0.495000,0.550000,0.539733,1,1,1,0.399893,0.199947,5
400,42,destructive,1,0.245000,0.240000,0.239167,1,1,1,0.399893,0.199947,5
400,42,destructive,2,0.197500,0.290000,0.293633,0,1,0,0.399893,0.199947,5
400,43,destructive,0,0.485000,0.480000,0.462900,1,1,1,0.399893,0.199947,5
400,43,destructive,1,0.232500,0.195000,0.235467,1,1,1,0.399893,0.199947,5
400,43,destructive,2,0.192500,0.265000,0.290800,0,1,0,0.399893,0.199947,5
400,44,destructive,0,0.407500,0.465000,0.460233,1,1,1,0.399893,0.199947,5
400,44,destructive,1,0.217500,0.175000,0.245467,1,1,1,0.399893,0.199947,5
400,44,destructive,2,0.185000,0.250000,0.285933,0,1,0,0.399893,0.199947,5
400,45,destructive,0,0.477500,0.465000,0.456033,1,1,1,0.399893,0.199947,5
400,45,destructive,1,0.225000,0.235000,0.231867,1,1,1,0.399893,0.199947,5
