m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
400,0,twogate,0,0.457500,0.470000,0.462167,1,1,1,0.399893,0.199947,5
400,0,twogate,1,0.200000,0.215000,0.225167,0,1,0,0.399893,0.199947,5
400,1,twogate,0,0.445000,0.425000,0.462133,1,1,1,0.399893,0.199947,5
400,1,twogate,1,0.230000,0.245000,0.234500,0,1,0,0.399893,0.199947,5
400,2,twogate,0,0.452500,0.425000,0.461933,1,1,1,0.399893,0.199947,5
400,2,twogate,1,0.207500,0.270000,0.236167,0,1,0,0.399893,0.199947,5
400,3,twogate,0,0.435000,0.430000,0.457800,1,1,1,0.399893,0.199947,5
400,3,twogate,1,0.245000,0.235000,0.225567,0,1,0,0.399893,0.199947,5
400,4,twogate,0,0.450000,0.460000,0.457067,1,1,1,0.399893,0.199947,5
400,4,twogate,1,0.227500,0.255000,0.246667,0,1,0,0.399893,0.199947,5
400,5,twogate,0,0.482500,0.415000,0.457000,1,1,1,0.399893,0.199947,5
400,5,twogate,1,0.197500,0.220000,0.235167,0,1,0,0.399893,0.199947,5
400,6,twogate,0,0.480000,0.490000,0.458800,1,1,1,0.399893,0.199947,5
400,6,twogate,1,0.217500,0.210000,0.244300,0,1,0,0.399893,0.199947,5
400,7,twogate,0,0.470000,0.430000,0.461533,1,1,1,0.399893,0.199947,5
400,7,twogate,1,0.212500,0.210000,0.229367,0,1,0,0.399893,0.199947,5
400,8,twogate,0,0.467500,0.425000,0.460300,1,1,1,0.399893,0.199947,5
400,8,twogate,1,0.187500,0.215000,0.230500,0,1,0,0.399893,0.199947,5
400,9,twogate,0,0.460000,0.520000,0.456867,1,1,1,0.399893,0.199947,5
400,9,twogate,1,0.240000,0.305000,0.227267,0,1,0,0.399893,0.199947,5
400,10,twogate,0,0.485000,0.480000,0.460333,1,1,1,0.399893,0.199947,5
400,10,twogate,1,0.182500,0.305000,0.233600,0,1,0,0.399893,0.199947,5
400,11,twogate,0,0.497500,0.455000,0.461900,1,1,1,0.399893,0.199947,5
400,11,twogate,1,0.220000,0.195000,0.244200,0,1,0,0.399893,0.199947,5
400,12,twogate,0,0.435000,0.460000,0.453700,1,1,1,0.399893,0.199947,5
400,12,twogate,1,0.195000,0.235000,0.231800,0,1,0,0.399893,0.199947,5
400,13,twogate,0,0.395000,0.450000,0.460100,1,1,1,0.399893,0.199947,5
400,13,twogate,1,0.222500,0.220000,0.237067,0,1,0,0.399893,0.199947,5
400,14,twogate,0,0.500000,0.475000,0.456433,1,1,1,0.399893,0.199947,5
400,14,twogate,1,0.235000,0.185000,0.244067,0,1,0,0.399893,0.199947,5
400,15,twogate,0,0.497500,0.500000,0.462400,1,1,1,0.399893,0.199947,5
400,15,twogate,1,0.187500,0.245000,0.241367,0,1,0,0.399893,0.199947,5
400,16,twogate,0,0.415000,0.480000,0.458767,1,1,1,0.399893,0.199947,5
400,16,twogate,1,0.187500,0.220000,0.242933,0,1,0,0.399893,0.199947,5
400,17,twogate,0,0.477500,0.365000,0.461000,1,1,1,0.399893,0.199947,5
400,17,twogate,1,0.220000,0.225000,0.233333,0,1,0,0.399893,0.199947,5
400,18,twogate,0,0.480000,0.480000,0.464200,1,1,1,0.399893,0.199947,5
400,18,twogate,1,0.255000,0.330000,0.236867,0,1,0,0.399893,0.199947,5
400,19,twogate,0,0.475000,0.465000,0.461500,1,1,1,0.399893,0.199947,5
400,19,twogate,1,0.200000,0.200000,0.235100,0,1,0,0.399893,0.199947,5
400,20,twogate,0,0.452500,0.450000,0.460233,1,1,1,0.399893,0.199947,5
400,20,twogate,1,0.202500,0.280000,0.245200,0,1,0,0.399893,0.199947,5
400,21,twogate,0,0.452500,0.490000,0.463033,1,1,1,0.399893,0.199947,5
400,21,twogate,1,0.195000,0.215000,0.223267,0,1,0,0.399893,0.199947,5
400,22,twogate,0,0.472500,0.435000,0.461200,1,1,1,0.399893,0.199947,5
400,22,twogate,1,0.245000,0.190000,0.230867,0,1,0,0.399893,0.199947,5
400,23,twogate,0,0.455000,0.475000,0.464333,1,1,1,0.399893,0.199947,5
400,23,twogate,1,0.197500,0.225000,0.230500,0,1,0,0.399893,0.199947,5
400,24,twogate,0,0.480000,0.515000,0.455400,1,1,1,0.399893,0.199947,5
400,24,twogate,1,0.222500,0.215000,0.237600,0,1,0,0.399893,0.199947,5
400,25,twogate,0,0.462500,0.460000,0.458200,1,1,1,0.399893,0.199947,5
400,25,twogate,1,0.267500,0.220000,0.239367,0,1,0,0.399893,0.199947,5
400,26,twogate,0,0.477500,0.515000,0.539900,1,1,1,0.399893,0.199947,5
400,26,twogate,1,0.215000,0.285000,0.242667,0,1,0,0.399893,0.199947,5
400,27,twogate,0,0.435000,0.495000,0.455100,1,1,1,0.399893,0.199947,5
400,27,twogate,1,0.227500,0.240000,0.231667,0,1,0,0.399893,0.199947,5
400,28,twogate,0,0.452500,0.455000,0.462233,1,1,1,0.399893,0.199947,5
400,28,twogate,1,0.210000,0.235000,0.231833,0,1,0,0.399893,0.199947,5
400,29,twogate,0,0.430000,0.500000,0.455133,1,1,1,0.399893,0.199947,5
400,29,twogate,1,0.195000,0.235000,0.221867,0,1,0,0.399893,0.199947,5
400,30,twogate,0,0.462500,0.425000,0.457667,1,1,1,0.399893,0.199947,5
400,30,twogate,1,0.260000,0.275000,0.247333,0,1,0,0.399893,0.199947,5
400,31,twogate,0,0.432500,0.495000,0.455867,1,1,1,0.399893,0.199947,5
400,31,twogate,1,0.192500,0.200000,0.229467,0,1,0,0.399893,0.199947,5
400,32,twogate,0,0.455000,0.445000,0.461400,1,1,1,0.399893,0.199947,5
400,32,twogate,1,0.222500,0.250000,0.232567,0,1,0,0.399893,0.199947,5
400,33,twogate,0,0.445000,0.405000,0.458533,1,1,1,0.399893,0.199947,5
400,33,twogate,1,0.235000,0.210000,0.223667,0,1,0,0.399893,0.199947,5
400,34,twogate,0,0.432500,0.445000,0.460433,1,1,1,0.399893,0.199947,5
400,34,twogate,1,0.205000,0.240000,0.234033,0,1,0,0.399893,0.199947,5
400,35,twogate,0,0.467500,0.510000,0.462767,1,1,1,0.399893,0.199947,5
400,35,twogate,1,0.200000,0.195000,0.232100,0,1,0,0.399893,0.199947,5
400,36,twogate,0,0.447500,0.485000,0.461667,1,1,1,0.399893,0.199947,5
400,36,twogate,1,0.182500,0.220000,0.237500,0,1,0,0.399893,0.199947,5
400,37,twogate,0,0.500000,0.410000,0.459567,1,1,1,0.399893,0.199947,5
400,37,twogate,1,0.205000,0.225000,0.236567,0,1,0,0.399893,0.199947,5
400,38,twogate,0,0.477500,0.540000,0.542133,1,1,1,0.399893,0.199947,5
400,38,twogate,1,0.190000,0.325000,0.242367,0,1,0,0.399893,0.199947,5
400,39,twogate,0,0.455000,0.440000,0.460700,1,1,1,0.399893,0.199947,5
